id,title,schedule_type,trainer_id,hall_id,start_time,duration_minutes,max_capacity,reserve_slots,is_active,created_at,updated_at,day_of_week,sessions_cost,group_id
9e399a82-f306-4414-a769-68d37a21d72a,Exotic (Level 2),group,c47d750c-fa9d-49f6-b7ba-0a471110c290,fd96e391-d7ef-4b20-8d45-97156b04e122,17:00:00,60,10,0,true,2026-04-18 16:34:11.12707+00,2026-04-18 16:34:11.12707+00,5,1,null
cce2a591-6cb0-40f7-81c9-568950d4b4c8,Exotic (Level 3),group,c47d750c-fa9d-49f6-b7ba-0a471110c290,fd96e391-d7ef-4b20-8d45-97156b04e122,13:00:00,60,10,0,true,2026-04-18 16:33:36.161011+00,2026-04-18 16:33:36.161011+00,2,1,null
b9b885be-27de-469a-bf4d-411382b54aa8,Exotic (Level 1),group,222e127b-01c5-434a-9e03-b559ce67c8a0,fd96e391-d7ef-4b20-8d45-97156b04e122,14:00:00,60,10,0,true,2026-04-18 16:34:50.81542+00,2026-04-18 16:34:50.81542+00,2,1,null
e022b3d5-ccab-4c7c-8451-d0714129d7f4,Exotic (Level 1),group,222e127b-01c5-434a-9e03-b559ce67c8a0,fd96e391-d7ef-4b20-8d45-97156b04e122,14:00:00,60,10,0,true,2026-04-18 16:34:59.515911+00,2026-04-18 16:34:59.515911+00,4,1,null
03d5d431-ae83-4cdf-bc6a-215f93735766,Exotic (Level 1),group,222e127b-01c5-434a-9e03-b559ce67c8a0,fd96e391-d7ef-4b20-8d45-97156b04e122,14:00:00,60,10,0,true,2026-04-18 16:35:17.418653+00,2026-04-18 16:35:17.418653+00,7,1,0d149a49-f462-4a60-b3d7-0c62943b4de5
b8b81282-708b-4d65-b784-9f91d1a3c332,Exotic (Level 1),group,222e127b-01c5-434a-9e03-b559ce67c8a0,fd96e391-d7ef-4b20-8d45-97156b04e122,15:00:00,60,10,0,true,2026-04-18 16:35:32.408675+00,2026-04-18 16:35:32.408675+00,7,1,0d149a49-f462-4a60-b3d7-0c62943b4de5
b0aa99fe-56d2-4e90-a89a-ae74b47f86d7,Exotic (Level 2),group,222e127b-01c5-434a-9e03-b559ce67c8a0,fd96e391-d7ef-4b20-8d45-97156b04e122,12:00:00,60,10,0,true,2026-04-18 16:35:46.231138+00,2026-04-18 16:35:46.231138+00,7,1,7f84a664-c9e1-4d4a-8668-5d53eea0438e
0a348ca4-fb99-4059-a13e-9f29d605fcc1,Exotic (Level 2),group,222e127b-01c5-434a-9e03-b559ce67c8a0,fd96e391-d7ef-4b20-8d45-97156b04e122,13:00:00,60,10,0,true,2026-04-18 16:36:02.649005+00,2026-04-18 16:36:02.649005+00,7,1,7f84a664-c9e1-4d4a-8668-5d53eea0438e
95ec646c-2861-419f-b8b0-5204c51f7abe,Exotic (Level 1),group,184f481a-e3fa-4fce-88c1-43742d29d4a3,fd96e391-d7ef-4b20-8d45-97156b04e122,10:00:00,60,10,0,true,2026-04-18 16:36:18.029796+00,2026-04-18 16:36:18.029796+00,1,1,7df734f9-a28d-4463-a5e8-7f44166a8a7d
09f4c0fe-f364-4bb5-b836-67d4b8adaef9,Exotic (Level 1),group,184f481a-e3fa-4fce-88c1-43742d29d4a3,fd96e391-d7ef-4b20-8d45-97156b04e122,11:00:00,60,10,0,true,2026-04-18 16:36:26.71978+00,2026-04-18 16:36:26.71978+00,1,1,7df734f9-a28d-4463-a5e8-7f44166a8a7d
